work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,employee_residence_currency
2021,Senior-level,Full-time,Data Specialist,165000,USD,165000,US,Remote,US,Large,USD
2021,Entry-level,Full-time,Data Engineer,80000,USD,80000,US,Remote,US,Large,USD
2021,Executive-level,Full-time,Director of Data Science,250000,USD,250000,US,On-site,US,Large,USD
2021,Entry-level,Full-time,BI Data Analyst,55000,USD,55000,US,Hybrid,US,Small,USD
2021,Mid-level,Full-time,Data Architect,150000,USD,150000,US,Remote,US,Large,USD
2021,Mid-level,Full-time,Data Architect,170000,USD,170000,US,Remote,US,Large,USD
2021,Mid-level,Full-time,Data Engineer,60000,GBP,82528,GB,Remote,GB,Large,GBP
2021,Entry-level,Full-time,Data Analyst,60000,USD,60000,US,Remote,US,Small,USD
2021,Senior-level,Full-time,Principal Data Scientist,235000,USD,235000,US,Remote,US,Large,USD
2021,Senior-level,Full-time,Research Scientist,51400,EUR,60757,Others,Hybrid,PT,Large,
2021,Senior-level,Full-time,Data Engineering Manager,174000,USD,174000,US,Remote,US,Large,USD
2021,Mid-level,Full-time,Data Scientist,58000,MXN,2859,Others,On-site,MX,Small,
2021,Mid-level,Full-time,Data Scientist,30400000,CLP,40038,Others,Remote,CL,Large,
2021,Entry-level,Full-time,Machine Learning Engineer,81000,USD,81000,US,Hybrid,US,Small,USD
2021,Mid-level,Full-time,Data Scientist,420000,INR,5679,IN,Remote,US,Small,INR
2021,Mid-level,Full-time,Big Data Engineer,1672000,INR,22611,IN,On-site,IN,Large,INR
2021,Mid-level,Full-time,Data Scientist,76760,EUR,90734,DE,Hybrid,DE,Large,EUR
2021,Mid-level,Full-time,Data Engineer,22000,EUR,26005,Others,On-site,US,Large,
2021,Senior-level,Full-time,Finance Data Analyst,45000,GBP,61896,GB,Hybrid,GB,Large,GBP
2021,Mid-level,Freelance,Machine Learning Scientist,12000,USD,12000,Others,Hybrid,PK,Medium,
2021,Mid-level,Full-time,Data Engineer,4000,USD,4000,Others,Remote,IR,Medium,
2021,Senior-level,Full-time,Data Analytics Engineer,50000,USD,50000,Others,Remote,GB,Medium,
2021,Executive-level,Full-time,Data Science Consultant,59000,EUR,69741,Others,Remote,ES,Small,
2021,Senior-level,Full-time,Data Engineer,65000,EUR,76833,Others,Hybrid,GB,Small,
